en,it,sq,ar,ta,fa,es,ur,fr,pt,so,tr
Initial Child Protection Conference,Conferenza iniziale per la protezione dei minori,Konferenca fillestare për mbrojtjen e fëmijës,المؤتمر الأولي لحماية الطفل,ஆரம்ப குழந்தை பாதுகாப்பு மாநாடு,کنفرانس اولیه حفاظت از کودک,Conferencia inicial de protección de menores,ابتدائی بچوں کی حفاظت کانفرنس,Conférence initiale de protection de l'enfance,Conferência inicial de proteção infantil,Shirka koowaad ee ilaalinta ilmaha,İlk çocuk koruma konferansı
Child Protection Plan,Piano di protezione dei minori,Plan për mbrojtjen e fëmijës,خطة حماية الطفل,குழந்தை பாதுகாப்பு திட்டம்,برنامه حفاظت از کودک,Plan de protección de menores,بچوں کی حفاظت کا منصوبہ,Plan de protection de l'enfance,Plano de proteção infantil,Qorshaha ilaalinta ilmaha,Çocuk koruma planı
physical punishment,punizione fisica,ndëshkim fizik,العقاب البدني,உடல் ரீதியான தண்டனை,تنبیه بدنی,castigo físico,جسمانی سزا,punition corporelle,punição física,ciqaabta jirka,fiziksel ceza
emotional harm,danno emotivo,dëm emocional,الضرر العاطفي,உணர்ச்சி ரீதியான தீங்கு,آسیب عاطفی,daño emocional,جذباتی نقصان,préjudice émotionnel,dano emocional,waxyeelada dareenka,duygusal zarar
safeguarding concerns,preoccupazioni di salvaguardia,shqetësime për mbrojtjen,مخاوف تتعلق بالحماية,பாதுகாப்பு கவலைகள்,نگرانی‌های حفاظتی,preocupaciones de salvaguarda,تحفظ کے خدشات,préoccupations de protection,preocupações de salvaguarda,walaacyada ilaalinta,koruma endişeleri
Allocated Case Worker,Assistente sociale assegnato,Punonjës i caktuar i rastit,الأخصائي الاجتماعي المعين,ஒதுக்கப்பட்ட வழக்கு அலுவலர்,مددکار اجتماعی تخصیص‌یافته,Trabajador social asignado,مختص کیس ورکر,Travailleur social référent,Técnico de caso atribuído,Shaqaalaha loo xilsaaray kiiska,Atanmış vaka sorumlusu
Recourse to Public Funds,Accesso ai fondi pubblici,E drejtë për fonde publike,حق الوصول إلى الأموال العامة,பொது நிதிகளுக்கான அணுகல்,دسترسی به بودجه عمومی,Acceso a fondos públicos,عوامی فنڈز تک رسائی,Accès aux fonds publics,Acesso a fundos públicos,Helitaanka lacagaha dawladda,Kamu fonlarına erişim hakkı
Family Group Conference,Conferenza del gruppo familiare,Konferencë e grupit familjar,مؤتمر المجموعة العائلية,குடும்ப குழு மாநாடு,کنفرانس گروه خانواده,Conferencia de grupo familiar,خاندانی گروپ کانفرنس,Conférence de groupe familial,Conferência de grupo familiar,Shirka kooxda qoyska,Aile grup konferansı
direct work,lavoro diretto,punë e drejtpërdrejtë,العمل المباشر,நேரடி பணி,کار مستقیم,trabajo directo,براہ راست کام,travail direct,trabalho direto,shaqo toos ah,doğrudan çalışma
welfare checklist,lista di controllo del benessere,lista e kontrollit të mirëqenies,قائمة فحص الرفاهية,நல்வாழ்வு சரிபார்ப்பு பட்டியல்,چک‌لیست رفاه,lista de verificación del bienestar,فلاحی چیک لسٹ,liste de contrôle du bien-être,lista de verificação do bem-estar,liiska hubinta ladnaanta,refah kontrol listesi
mark,segno,shenjë,علامة,அடையாளம்,علامت,marca,نشان,marque,marca,calaamad,iz
account,versione dei fatti,dëshmi,رواية,கணக்கு விவரம்,شرح وقایع,relato,بیان,récit,relato,sheeko,ifade
bottom line,conclusione,përfundimi,الخلاصة,முடிவுரை,نتیجه‌گیری,conclusión,نتیجہ,conclusion,conclusão,gunaanad,sonuç
played a role,ha interpretato il ruolo,ka luajtur rolin,لعب دور,பாத்திரத்தில் நடித்தார்,نقش بازی کرد,interpretó el papel,کردار ادا کیا,a interprété le rôle,interpretou o papel,door ciyaaray,rol oynadı
Family Name,Cognome,Mbiemri,اسم العائلة,குடும்பப் பெயர்,نام خانوادگی,Apellido,خاندانی نام,Nom de famille,Apelido,Magaca qoyska,Soyadı
