Term,Albanian (sq),Arabic (ar),Tamil (ta),Dari (fa-AF),Spanish (es),Urdu (ur),French (fr),Portuguese (pt),Somali (so),Turkish (tr),Descriptor / Comments (EN)
Legal Planning Meeting (LPM),Takim për planifikimin ligjor,?????? ??????? ????????,???? ??????? ???????,???? ?????????? ??????,Reunión de planificación jurídica,???? ?????? ?????,Réunion de planification juridique,Reunião de planeamento jurídico,Shirka Qorshaynta Sharciga,Yasal planlama toplant?s?,Formal local authority meeting to seek legal advice on initiating care proceedings.
Independent Visitor,Vizitues i jashtëm i pavarur,?????? ???????,??????????? ???????????,??????????? ?????,Visitador independiente,???? ????,Visiteur indépendant,Visitante independente,Booqandaha Madaxbanaan,Ba??ms?z ziyaretçi,Volunteer appointed to visit and befriend a child in local authority care.
Child and Adolescent Mental Health Services (CAMHS),Shërbimet e Shëndetit Mendor për Fëmijë dhe Adoleshentë,????? ????? ??????? ??????? ??????????,?????????? ??????? ???? ??????????? ?????? ????,????? ??? ????? ????? ? ????????,Servicios de salud mental infantil y juvenil,???? ??? ???????? ?? ???? ??? ?? ?????,Services de santé mentale pour enfants et adolescents,Serviços de santé mentale infanto-juvenil,Adeegyada Caafimaadka Maskaxda ee Carruurta iyo Dhallinyarada,Çocuk ve ergen ruh sa?l??? hizmetleri,NHS specialist services assessing and treating children with mental health or behavioral difficulties.
Life Story Work,Puna për historinë e jetës,????? ??? ??????,???????? ?????????? ???,??? ??? ?????? ?????,Trabajo sobre la historia de vida,???? ?????? ???,Travail sobre l'histoire de vie,Trabalho de história de vida,Shaqaalaysiinta taariikhda nolosha,Hayat hikayesi çal??mas?,Social work intervention helping children in care understand their personal history and background.
Personal Education Plan (PEP),Plan personal edukimi,????? ????????? ???????,????????? ??????? ???????,???? ?????? ????,Plan educativo personalizado,???? ?????? ??????,Projet personnalisé de scolarisation,Plano de educação personalizado,Qorshaha Waxbarashada Shakhsiyadeed,Ki?isel e?itim plan?,Statutory document outlining educational targets and support for a child in local authority care.
Virtual School,Shkollë virtuale,??????? ??????????,??????????? ?????,???? ?????,Escuela virtual,?????? ?????,École virtuelle,Escola virtual,Skuul dhalanteed ah,Sanal okul,Local authority service tracking and supporting the educational outcomes of children in care.
Age Assessment,Vlerësimi i moshës,????? ?????,???? ?????????,??????? ??,Evaluaciones de edad,??? ?? ????,Évaluation de l'âge,Avaliação da idade,Qiimeynta da'da,Ya? tespiti,Formal social work evaluation used to determine the chronological age of an asylum seeker.
Semi-independent accommodation,Vendbanim gjysmë i pavarur,????? ??? ???????,?????-??????? ??????????,???????? ???? ?????,Alojamiento semiindependiente,??? ???? ?????,Logement semi-autonome,Alojamento semi-independente,Guri ku-talogal ah oo nus-madaxbanaan,Yar? ba??ms?z bar?nma,Supported housing designed for older teens in care to build independent living skills.
Staying Put arrangement,Marrëveshje për qëndrim të zgjatur,??????? ?????? ?? ?????,????????? ????? ?? ???,Acuerdo de permanencia prolongada,?????? ?? ????????,Maintien dans le placement au-delà de la majorité,Acordo de permanência pós-maioridade,Heshiiska sii joogista guriga,Koruyucu aile yan?nda kalmaya devam etme anla?mas?,Agreement letting young people remain with foster carers after turning 18 until age 21.,
Local Offer,Oferta lokale,????? ??????,??????? ??????? ??????,????? ????,Oferta local,???? ???,Offre locale,Oferta local,Deeqda deegaanka,Yerel hizmet rehberi,Statutory publication detailing services and support available locally for children with special needs.
Delegated Authority Form,Formulari i delegimit të autoritetit,????? ????? ?????????,???????? ???????? ??????,???? ?????? ????? ???,Formulario de delegación de autoridad,???????? ??????? ????,Formulaire de délégation d'autorité,Formulário de delegação de autoridade,Foomka oggolaanshaha wakiilashada,Yetki devri formu,Document specifying everyday decisions a foster carer can make for a child.
Independent Domestic Violence Advocate (IDVA),Mbrojtës i pavarur kundër dhunës në familje,???????? ??????? ????? ??????,??????????? ??????? ??????? ????????,???? ????? ????? ?????,Defensor independiente contra la violencia doméstica,???? ??????? ?????? ????????,Référent indépendant pour les violences conjugales,Assessor independente de violência doméstica,U-golip ka madaxbanaan dhibaatada qoyska,Ba??ms?z aile içi ?iddet dan??man?,Specialist professional supporting high-risk victims of domestic abuse with safety and legal options.
Non-molestation order,Urdhër mbrojtjeje nga ngacmimi,??? ??? ??????,??? ??? ??????,Orden de alejamiento y no molestia,??? ???????? ????,Ordonnance de non-harcèlement,Ordem de não-importunação,Amarka ka-hortagga dhibaataynta,Taciz ve kötü muameleyi önleme emri,Emergency court injunction protecting a victim from domestic violence or harassment by a partner.,
Contact Risk Assessment,Vlerësimi i rrezikut të kontaktit,????? ????? ???????,??????? ??? ????,Evaluación de riesgos del contacto,????? ?? ???? ?? ??????,Évaluation des risques liés aux contacts,Avaliação de risco de contacto,Qiimeynta khatarta xiriirka,Temas risk de?erlendirmesi,Evaluation determining the safety of a child spending time with a specific person.,
Health Visitor,Vizitues shëndetësor,?????? ?????,????????? ???????????,??????????? ???,Visitador médico de atención infantil,????? ????,Puéricultrice de secteur,Enfermeiro de saúde pública infantil,Booqandaha Caafimaadka,Sa?l?k ziyaretçisi,Public health nurse specializing in the development and wellbeing of children under five.
Portage,Shërbimi Portage,????? ?????? ?????????,???????? ??????? ????? ????,????? ??????,Servicio de atención temprana a domicilio,?????? ????,Service de soutien préscolaire à domicile,Serviço de apoio domiciliar na primeira infância,Adeega Portage,Portage evde okul öncesi e?itim hizmeti,Home-based educational support service for pre-school children with special educational needs or disabilities.
House in Multiple Occupation (HMO),Shtëpi me banim të shumëfishtë,???? ????? ??????,?? ???????????? ????????? ????,???? ?????? ?????,Vivienda de ocupación múltiple,??? ??? ?? ?????,Maison à occupation multiple,Casa de ocupação múltipla,Guri ay dad badani degan yihiin,Çoklu ikamet edilen konut,Property rented by at least three people from different households sharing basic facilities.
Refuge,Vendstrehim,?????? ?????,????????,???????,Centro de acogida para víctimas,???? ???,Centre d'hébergement d'urgence,Refúgio de proteção,Guri badbaado,S???nma evi,"Secured, confidential temporary accommodation for victims fleeing domestic abuse."
Migrant Visa Domestic Abuse Concession (MVDAC),Lehtësim vize për migrantët viktima të dhunës,????? ?????? ????????? ????? ????? ??????,???????????????? ??????? ??????? ???? ?????,?????? ????? ??????? ?????? ????? ?????,Concesión de visado por violencia doméstica para migrantes,???????? ???? ??????? ????? ??????,Concession de visa pour les migrants victimes de violences conjugales,Concessão de visto por violência doméstica para migrantes,Oggolaanshaha Fiisaha Dacwada Qoyska ee Muhaajiriinta,Göçmen vizesi aile içi ?iddet istisnas?,Policy granting temporary public fund access to foreign nationals experiencing domestic abuse.
Universal Credit,Kredi universale,????? ?????? ??????,????????? ???????? ???? ????,??? ???? ?????????,Crédito Universal,???????? ?????,Aide sociale généralisée,Subsídio de apoio social universal,Kaalmada Guud ee Universal Credit,Evrensel temel geçim deste?i,Standard UK state welfare benefit consolidating multiple low-income and unemployment living cost allowances.
Perpetrator program,Program për ndryshimin e sjelljes së dhunuesve,?????? ????? ?????? ????? ??????,???????????????????? ????????????? ???????,???? ?????? ??????? ?????,Programa para agresores,?????? ?? ????? ?? ???????,Programme de responsabilisation des auteurs de violences,Programa para autores de violência,Barnaamijka dhaqan-celinta dambiilayaasha,Fail grubu rehabilitasyon program?,Structured intervention targeting behavioral change in individuals who have committed domestic violence.
Growbaby,Growbaby,????? ??? ????,??? ????,Growbaby,??? ????,Growbaby,Growbaby,Growbaby,Growbaby,Voluntary community initiative providing free essential equipment and clothes for babies and toddlers.,
Supported accommodation,Vendbanim i mbështetur,????? ???????,????????? ??????????,???????? ??????,Alojamiento tutelado,?????? ?????,Logement accompagné,Alojamento apoiado,Guri taageero leh,Destekli bar?nma,Housing paired with support services to help vulnerable individuals or families live independently.
British Ability Scales 3 (BAS3),Shkallët e Aftësive Britanike 3,?????? ??????? ?????????? ??????? 3,?????????? ????????? ???????? 3,????????? ???????? ?????????? 3,Escalas de Aptitud Británicas 3,???? ?????? ?????? 3,Échelles d'évaluation des aptitudes britanniques 3,Escalas de Aptidão Britânicas 3,Halbeegga Awoodda Ingiriiska ee 3aad,?ngiliz yetenek ölçekleri 3,"Standardised battery of tests evaluating cognitive, reasoning, and learning abilities in children."
Verbal Ability,Aftësia verbale,?????? ???????,???????????,???????? ?????,Aptitud verbal,????? ??????,Aptitude verbale,Aptidão verbal,Awoodda hadalka,Sözel yetenek,Psychometric measure tracking a child's understanding and expressive use of spoken language.
Non-verbal Reasoning Ability,Aftësia e arsyetimit joverbal,?????? ??? ??????? ??? ??????,???????? ???????????? ?????,???????? ??????? ????????,Aptitud de razonamiento no verbal,??? ????? ??????? ?? ??????,Raisonnement non verbal,Aptidão de raciocínio não-verbal,Awoodda sababaynta ee aan hadalka ahayn,Say?sal ve ?ekilsel ak?l yürütme yetene?i,"Psychometric scale assessing a child's capability to analyse patterns, relationships, and geometric rules."
Spatial Ability,Aftësia hapësinore,?????? ????????,??????????? ????????????? ?????,???????? ?????,Aptitud espacial,????? ??????,Aptitude spatiale,Aptidão espacial,Awoodda fahamka booska,Uzamsal yetenek,"Psychometric measure evaluating how a child processes, remembers, and manipulates shapes and designs."
Core Scales,Shkallët bazë,???????? ????????,??????? ???????????,????????? ????,Escalas principales,?????? ??????,Échelles de base,Escalas principais,Halbeegga muhiimka ah,Temel ölçekler,The primary subtests within the BAS3 evaluating fundamental cognitive reasoning domains.
Diagnostic Scales,Shkallët diagnostikuese,???????? ?????????,?????????? ???????????,????????? ??????,Escalas diagnósticas,?????? ??????,Échelles diagnostiques,Escalas de diagnóstico,Halbeegga baaritaanka,Tan?sal ölçekler,Supplementary tests within the BAS3 used to investigate specific learning difficulties.
Achievement Scales,Shkallët e arritjeve,?????? ??????? ?????????,???????? ???????? ???????????,????????? ?????? ??????,Escalas de rendimiento,??????? ?? ??????,Échelles de niveau scolaire,Escalas de aproveitamento,Halbeegga guusha,Ba?ar? ölçekleri,Tests within the BAS3 evaluating a child's current academic attainment skills.
Matrices,Matricat,?????????,?????????? ?????????,?????????,Matrices,??????,Matrices,Matrizes,Shaxanka matrices-ka,Matrisler,A BAS3 non-verbal reasoning subtest involving abstract shape pattern completion tasks.
Pattern Construction,Ndërtimi i modeleve,????? ???????,????????? ??????????? ?????,????? ??????,Construcción con bloques,????? ????????,Construction de figures,Construção de padrões,Dhisidda qaababka,Desen olu?turma,A BAS3 spatial subtest requiring timed physical replication of geometric block designs.
Quantitative Reasoning,Arsyetimi kuantitativ,??????? ????? ???????,?????? ???????????? ?????,??????? ??? ????,Razonamiento cuantitativo,?????? ???????,Raisonnement quantitatif,Raciocínio quantitativo,Sababaynta tirada,Niceliksel ak?l yürütme,A BAS3 non-verbal reasoning subtest evaluating problem-solving skills using mathematical patterns.
Recognition of Designs,Njohja e dizajneve,?????? ??? ?????? ???????,????????? ???????? ?????? ?????,????? ??????? ?????,Reconocimiento de diseños,?????? ?? ?????,Reconnaissance de figures abstractes,Reconhecimento de desenhos,Garashada nashqadaha,?ekil ve desen haf?zas?,A BAS3 spatial memory subtest requiring identification of previously viewed abstract drawings.
Verbal Similarities,Ngjashmëritë verbale,?????????? ???????,???????? ???????????? ?????????,????????? ?????,Semejanzas verbales,????? ????????,Similitudes verbales,Semelhanças verbais,Isku-midnimada hadalka,Sözel benzerlikler,A BAS3 verbal subtest measuring linguistic reasoning and classification skills through item links.
Word Definitions,Përkufizimet e fjalëve,?????? ???????,???????????????? ???????????,??????? ?????,Definiciones de palabras,????? ?? ???????,Définitions de mots,Definições de palavras,Qeexidda kalmadaha,Kelime tan?mlar?,A BAS3 verbal subtest evaluating expressive language and understanding of spoken word meanings.
Percentile,Përqindorja,percentile (?????? ???????),??????????,????? ????,Percentil,????????,Percentile,Percentil,Boqolleyda percentile-ka,Yüzdelik dilim,A standard psychometric score showing a child's ranking relative to a norm group.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
